OrphaCode,Name,DisorderType,DisorderGroup,ICD-11,MONDO,ICD-10,OMIM,UMLS,MeSH,MedDRA,GARD,DiseaseName,AgeOfOnset,TypeOfInheritance
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,LD20.01,0009166,Q04.3,225753,C1856974,C536716,,343,Pontocerebellar hypoplasia type 4,Antenatal,Autosomal recessive
166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,3B12,0008668,D68.0,193400,C1264039,D056725,,,Von Willebrand disease type 1,All ages,Autosomal dominant
206,NON RARE IN EUROPE: Crohn disease,Disease,Disorder,,,,,,,,,,,
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,LD20.01,0012683,Q04.3,611523,C1969084,C548074,,10710,Pontocerebellar hypoplasia type 6,Neonatal,Autosomal recessive
213,Cystinosis,Disease,Disorder,5C60.1,0016239,E72.0,219900,C4316899,D003554,10011777,6236,Cystinosis,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166084,Von Willebrand disease type 2A,Clinical subtype,Subtype of disorder,3B12,0015628,D68.0,613554,C1282968,,,,Von Willebrand disease type 2A,,"Autosomal dominant, Autosomal recessive"
333,Farber disease,Disease,Disorder,5C56.0Y,0009218,E75.2,228000,C0268255,D055577,10083960,6426,Farber disease,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
166081,Von Willebrand disease type 2,Clinical subtype,Subtype of disorder,3B12,0013304,D68.0,613554,C1264040,D056728,,,Von Willebrand disease type 2,All ages,"Autosomal dominant, Autosomal recessive"
349,Fucosidosis,Disease,Disorder,5C56.21,0009254,E77.1,230000,C0016788,D005645,,6473,Fucosidosis,"Childhood, Infancy",Autosomal recessive
166090,Von Willebrand disease type 2M,Clinical subtype,Subtype of disorder,3B12,0015630,D68.0,613554,C1282974,,,,Von Willebrand disease type 2M,,Autosomal dominant
365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,5C51.3,0009290,E74.0,232300,C0017921,D006009,10053185,5714,Glycogen storage disease due to acid maltase deficiency,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
166087,Von Willebrand disease type 2B,Clinical subtype,Subtype of disorder,3B12,0015629,D68.0,613554,C1282971,,,,Von Willebrand disease type 2B,,Autosomal dominant
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Disorder,5C51.3,0009291,E74.0,232400,C0017922,D006010,10053250,9442,Glycogen storage disease due to glycogen debranching enzyme deficiency,"Childhood, Infancy",Autosomal recessive
166093,Von Willebrand disease type 2N,Clinical subtype,Subtype of disorder,3B12,0015631,D68.0,613554,C1282975,,,,Von Willebrand disease type 2N,,Autosomal recessive
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Disorder,5C51.3,0009293,E74.0,232600,C0017924,D006012,10018462,6528,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive
166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,3B12,0010191,D68.0,277480,C1264041,D056729,,,Von Willebrand disease type 3,"Infancy, Neonatal",Autosomal recessive
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Disorder,5C51.3,0009292,E74.0,263570,C0017923,D006011,10053249,2520,Glycogen storage disease due to glycogen branching enzyme deficiency,All ages,Autosomal recessive
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,Disorder,LD2F.1Y,0008490,Q87.0,184840,C1861481,C537494,,,Autosomal dominant otospondylomegaepiphyseal dysplasia,"Infancy, Neonatal",Autosomal dominant
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Disorder,5C51.3,0009295,E74.0,232800,C0017926,D006014,10053241,5686,Glycogen storage disease due to muscle phosphofructokinase deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Disorder,5C53.2Y,0015632,G71.3,618855,C4755278,,,,FASTKD2-related infantile mitochondrial encephalomyopathy,"Adolescent, Infancy, Neonatal",Autosomal recessive
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,5C51.3,0009294,E74.0,232700,C0017925,D006013,10053240,6529,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Childhood,Autosomal recessive
447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,3A21.0,0100244,D59.5,615399,C0024790,D006457,10034042,7337,Paroxysmal nocturnal hemoglobinuria,All ages,Not applicable
166108,Birk-Barel syndrome,Disease,Disorder,,0012856,Q87.8,612292,C2676770,C567357,,10358,Birk-Barel syndrome,Infancy,Autosomal dominant
166113,Bazex syndrome,Disease,Disorder,EL10,,L44.8,,C0406355,,10065247,,Bazex syndrome,Adult,Not applicable
535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,,,,,C5680424,,10056509,6225,Rare cutaneous lupus erythematosus,All ages,Multigenic/multifactorial
166119,Isolated osteopoikilosis,Disease,Disorder,LD24.11,0015634,Q78.8,166700,C1833699,C563484,,,Isolated osteopoikilosis,"Adolescent, Adult, Childhood",Autosomal dominant
487,Krabbe disease,Disease,Disorder,8A44.4,0009499,E75.2,611722,C0023521,D007965,10023492,6844,Krabbe disease,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
166260,Dentinogenesis imperfecta type 2,Clinical subtype,Subtype of disorder,LA30.8,0007441,K00.5,605594,C2973527,,,12796,Dentinogenesis imperfecta type 2,Childhood,Autosomal dominant
166265,Dentinogenesis imperfecta type 3,Clinical subtype,Subtype of disorder,LA30.8,0007442,K00.5,125500,C0399378,C538216,,10144,Dentinogenesis imperfecta type 3,Childhood,Autosomal dominant
583,Mucopolysaccharidosis type 6,Disease,Disorder,5C56.33,0009661,E76.2,253200,C0026709,D009087,10056892,7095,Mucopolysaccharidosis type 6,Childhood,Autosomal recessive
166272,Odontochondrodysplasia,Malformation syndrome,Disorder,,100325,Q78.8,184260,C2745953,C535792,,8717,Odontochondrodysplasia,"Infancy, Neonatal",Autosomal recessive
576,Mucolipidosis type II,Disease,Disorder,5C56.20,0009650,E77.0,252500,C0020725,C538602,10072928,6749,Mucolipidosis type II,"Antenatal, Neonatal",Autosomal recessive
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Disorder,LD24.KY,0011501,Q78.8,604922,C4518794,,,10290,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Childhood,Unknown
812,Sialidosis type 1,Disease,Disorder,5C56.21,0019346,E77.1,256550,C0023806,,,7639,Sialidosis type 1,"Adolescent, Childhood",Autosomal recessive
166282,Hereditary sick sinus syndrome,Disease,Disorder,BC65.Y,0012061,I49.5,619464,C0340491,D012804,10040639,13663,Hereditary sick sinus syndrome,"Adult, Elderly","Autosomal dominant, Autosomal recessive"
578,Mucolipidosis type IV,Disease,Disorder,5C56.0Y,0009653,E75.1,252650,C0238286,,10072930,94,Mucolipidosis type IV,Infancy,Autosomal recessive
166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Disorder,LC02,0015635,Q82.5,,C0473579,,,,Porokeratotic eccrine ostial and dermal duct nevus,"Infancy, Neonatal",Not applicable
577,Mucolipidosis type III,Disease,Disorder,5C56.20,,E77.0,252605,C0033788,,10072929,3806,Mucolipidosis type III,Childhood,Autosomal recessive
166291,Dirofilariasis,Disease,Disorder,1F66.Y,0015636,B74.8,,C0012602,D004184,10080290,11908,Dirofilariasis,All ages,Not applicable
166295,Benign non-familial infantile seizures,Clinical group,Group of disorders,,0015637,,,C5680425,,,,,,
771,NON RARE IN EUROPE: Ulcerative colitis,Disease,Disorder,,,,,,,,,,,
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Disorder,8A61.10,0015641,G40.0,,C4749346,,,,Benign infantile focal epilepsy with midline spikes and waves during sleep,Infancy,
166305,OBSOLETE: Benign infantile seizures associated with mild gastroenteritis,Disease,Disorder,,,,,,,,,,,
2912,Poliomyelitis,Disease,Disorder,1C81,0017373,A80.1,,C0032371,D011051,10036012,7413,Poliomyelitis,Childhood,Not applicable
166302,Benign partial epilepsy with secondarily generalized seizures in infancy,Disease,Disorder,,0015639,,,C4749728,,,,,,
166299,Benign partial epilepsy of infancy with complex partial seizures,Disease,Disorder,,0015638,,,C4749347,,,,,,
796,Sandhoff disease,Disease,Disorder,5C56.00,0010006,E75.0,268800,C0036161,D012497,,2521,Sandhoff disease,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166409,Photosensitive occipital lobe epilepsy,Disease,Disorder,8A61.40,0015643,G40.5,609573,C0393720,,,5648,Photosensitive occipital lobe epilepsy,"Adolescent, Adult, Childhood",
801,Scleroderma,Clinical group,Group of disorders,,0019340,,,C0011644,,10039710,,Scleroderma,All ages,Not applicable
166311,Benign partial infantile seizures,Clinical group,Group of disorders,,0015642,,,C5680426,,,,,,
461,Recessive X-linked ichthyosis,Disease,Disorder,EC20.01,0010622,Q80.1,308100,C2720163,D016114,,7904,Recessive X-linked ichthyosis,Neonatal,X-linked recessive
166421,Orgasm-induced epilepsy,Disease,Disorder,8A61.40,0015646,G40.5,,C4706598,,,,Orgasm-induced epilepsy,Adult,
856,NON RARE IN EUROPE: Tourette syndrome,Disease,Disorder,,,F95.2,,,,,,,,
166418,Eating reflex epilepsy,Disease,Disorder,8A61.40,0015645,G40.5,,C0393725,,,,Eating reflex epilepsy,All ages,
166415,Audiogenic epilepsy,Disease,Disorder,8A61.40,0015644,G40.5,,C0751791,,,,,,
584,Mucopolysaccharidosis type 7,Disease,Disorder,5C56.3Y,0009662,E76.2,253220,C0085132,D016538,10056893,7096,Mucopolysaccharidosis type 7,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
825,NON RARE IN EUROPE: Ankylosing spondylitis,Disease,Disorder,,,M45,,,,,,,,
166412,Hot water reflex epilepsy,Disease,Disorder,8A61.40,0013229,G40.5,613340,C4706506,,,,Hot water reflex epilepsy,All ages,Autosomal dominant
166433,Epilepsy with reading-induced seizures,Disease,Disorder,8A61.40,0007560,G40.5,132300,C0278193,,,,Epilepsy with reading-induced seizures,"Adolescent, Adult",
166430,Micturition-induced epilepsy,Disease,Disorder,8A61.40,0015649,G40.5,,C4706587,,,,,,
881,Turner syndrome,Malformation syndrome,Disorder,LD50.0,0019499,Q96.4,,C0041408,D014424,10045181,7831,Turner syndrome,"Antenatal, Childhood, Infancy, Neonatal","Not applicable, Unknown"
166427,Startle epilepsy,Disease,Disorder,8A61.40,0015648,G40.5,,C4706527,,,,,,
166424,Thinking epilepsy,Disease,Disorder,8A61.40,0015647,G40.5,,C4706523,,,,,,
95,Friedreich ataxia,Disease,Disorder,8A03.10,100339,G11.1,601992,C0016719,D005621,10017374,6468,Friedreich ataxia,"Adolescent, Childhood",Autosomal recessive
166466,Neurocutaneous syndrome with epilepsy,Category,Group of disorders,,,,,C5680427,,,,,,
848,Beta-thalassemia,Clinical group,Group of disorders,3A50.2,0019402,D56.1,603902,C0005283,D017086,10043391,871,Beta-thalassemia,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
166469,Chromosomal anomaly with epilepsy as a major feature,Category,Group of disorders,,,,,C5680428,,,,,,
846,Alpha-thalassemia,Clinical group,Group of disorders,3A50.0,0011399,D56.0,604131,C0002312,D017085,10043390,621,Alpha-thalassemia,All ages,Autosomal recessive
166457,OBSOLETE: Other forms of non-paraneoplastic limbic encephalitis,Category,Group of disorders,,,,,,,,,,,
586,Cystic fibrosis,Disease,Disorder,CA25,0009061,E84,219700,C0010674,D003550,10011762,6233,Cystic fibrosis,All ages,Autosomal recessive
166463,Epilepsy syndrome,Category,Group of disorders,,0015650,,,C4505072,D000073376,,,,,
166478,Cerebral malformation with epilepsy,Category,Group of disorders,,,,,C5680429,,,,,,
262,Duchenne and Becker muscular dystrophy,Clinical group,Group of disorders,,,,,C3542021,,,,Duchenne and Becker muscular dystrophy,"Adolescent, Adult, Childhood",X-linked recessive
166481,Metabolic diseases with epilepsy,Category,Group of disorders,,,,,C1299598,,,,,,
166472,Monogenic disease with epilepsy,Category,Group of disorders,,,,,C5680430,,,,,,
166475,Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes,Category,Group of disorders,,,,,C5680431,,,,,,
261,Emery-Dreifuss muscular dystrophy,Disease,Disorder,8C70.2,0016830,G71.0,612999,C0410189,D020389,10081544,6329,Emery-Dreifuss muscular dystrophy,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive"
166490,Infectious disease with epilepsy,Category,Group of disorders,,,,,C5680432,,,,,,
166484,Inflammatory and autoimmune disease with epilepsy,Category,Group of disorders,,,,,C5680433,,,,,,
166487,Cerebral diseases of vascular origin with epilepsy,Category,Group of disorders,,,,,C5680434,,,,,,
550,MELAS,Disease,Disorder,8C73.Y,0010789,G71.3,540000,C0162671,D017241,10053872,7009,MELAS,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
269,Facioscapulohumeral dystrophy,Disease,Disorder,8C70.3,0001347,G71.0,600416,C0238288,D020391,10064087,9941,Facioscapulohumeral dystrophy,All ages,Autosomal dominant
480,Kearns-Sayre syndrome,Disease,Disorder,9C82.0,0010787,H49.8,530000,C0022541,D007625,10048804,6817,Kearns-Sayre syndrome,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, Mitochondrial inheritance, Not applicable"
593,Myofibrillar myopathy,Category,Group of disorders,8C76,0018943,,,C2678065,C580316,10087101,10529,Myofibrillar myopathy,Adult,"Autosomal dominant, Autosomal recessive"
163898,OBSOLETE: Classic paraneoplastic limbic encephalitis,Disease,Disorder,,,,,,,,,,,
163895,OBSOLETE: Paraneoplastic limbic encephalitis,Clinical group,Group of disorders,,,,,,,,,,,
163908,OBSOLETE: Limbic encephalitis with LGI1 antibodies,Disease,Disorder,,,,,,,,,,,
163903,OBSOLETE: Limbic encephalitis associated with antibodies to cell membrane antigens,Category,Group of disorders,,,,,,,,,,,
551,MERRF,Disease,Disorder,8C73.Y,0010790,G71.3,545000,C0162672,D017243,10069825,7144,MERRF,"Adult, Childhood",Mitochondrial inheritance
597,Central core disease,Disease,Disorder,8C72.02,0007294,G71.2,117000,C0751951,D020512,10057620,6014,Central core disease,Childhood,Autosomal dominant
607,Nemaline myopathy,Clinical group,Group of disorders,8C72.00,0018958,,,C0206157,D017696,,12033,Nemaline myopathy,All ages,"Autosomal dominant, Autosomal recessive, Not applicable"
163892,OBSOLETE: Limbic encephalitis,Clinical group,Group of disorders,,,,,,,,,,,
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Disease,Disorder,,0012198,E75.2,609136,C1836727,C563789,,,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,"Infancy, Neonatal",Autosomal dominant
684,Paramyotonia congenita of Von Eulenburg,Disease,Disorder,8C74.0,0008195,G71.1,168300,C0221055,,10088318,7325,Paramyotonia congenita of Von Eulenburg,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant
163931,Acrodermatitis continua of Hallopeau,Disease,Disorder,EA90.41,,L40.2,,C0392439,,,,Acrodermatitis continua of Hallopeau,Adult,Autosomal recessive
273,Steinert myotonic dystrophy,Disease,Disorder,8C71.0,0008056,G71.1,160900,C3250443,C538008,,8310,Steinert myotonic dystrophy,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
163927,Pustulosis palmaris et plantaris,Disease,Disorder,EA90.42,0015597,L40.3,,C0030246,,10050185,12820,Pustulosis palmaris et plantaris,,"Autosomal dominant, Autosomal recessive"
163937,"X-linked intellectual disability, Najm type",Disease,Disorder,LD90.Y,0010417,Q04.3,300749,C2677903,,,12669,"X-linked intellectual disability, Najm type","Infancy, Neonatal",X-linked dominant
163934,Atopic keratoconjunctivitis,Disease,Disorder,9A60.0Y,0015599,H16.2,,C1274788,,10069664,,Atopic keratoconjunctivitis,All ages,Not applicable
163918,OBSOLETE: Non-paraneoplastic limbic encephalitis,Category,Group of disorders,,,,,,,,,,,
163914,OBSOLETE: Limbic encephalitis with nCMAgs antibodies,Disease,Disorder,,,,,,,,,,,
163924,OBSOLETE: Non-herpetic acute limbic encephalitis,Disease,Disorder,,,,,,,,,,,
614,Thomsen and Becker disease,Disease,Disorder,8C71.2,0009710,G71.1,255700,C0027127,,10028655,12301,Thomsen and Becker disease,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive"
163921,Posttransplant acute limbic encephalitis,Particular clinical situation in a disease or syndrome,Disorder,,0015595,G04.8,,C4750744,,,,Posttransplant acute limbic encephalitis,All ages,
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease,Disorder,LD24.A,0010463,Q87.8,300863,C4304401,,,,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type","Infancy, Neonatal",X-linked dominant
163971,"X-linked intellectual disability, Cilliers type",Disease,Disorder,LD90,0015600,Q87.8,,C4305024,,,,"X-linked intellectual disability, Cilliers type","Infancy, Neonatal",X-linked recessive
163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,Disorder,LD90,0015601,Q87.8,301030,C4305072,,,,"X-linked intellectual disability, Van Esch type","Infancy, Neonatal",X-linked recessive
163979,X-linked intellectual disability-craniofacioskeletal syndrome,Disease,Disorder,LD90,0010412,Q87.8,300712,C4750743,,,,X-linked intellectual disability-craniofacioskeletal syndrome,"Antenatal, Infancy, Neonatal",Unknown
163953,"X-linked intellectual disability, Raymond type",Disease,Disorder,,,,300799,,,,,,,
163956,"X-linked intellectual disability, Nascimento type",Disease,Disorder,LD90,0010461,Q87.8,300860,C4512071,,,,"X-linked intellectual disability, Nascimento type",Infancy,X-linked recessive
163961,X-linked cerebral-cerebellar-coloboma syndrome,Disease,Disorder,,0010464,Q87.8,300864,C3275487,,,,X-linked cerebral-cerebellar-coloboma syndrome,"Infancy, Neonatal",X-linked recessive
164004,Middle and/or inner ear anomaly,Category,Group of disorders,,,,,C5816681,,10060957,,,,
164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,Disease,Disorder,2A60.20,0015608,D46.7,,C4707660,,,,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,"Adult, Elderly",
324,Fabry disease,Disease,Disorder,5C56.01,0010526,E75.2,301500,C0002986,D000795,10016016,6400,Fabry disease,"Adolescent, Adult, Childhood","X-linked dominant, X-linked recessive"
163982,X-linked intellectual disability-spastic quadriparesis syndrome,Disease,Disorder,,,,309640,,,,,,,
163985,Hyperekplexia-epilepsy syndrome,Disease,Disorder,,0010375,G25.8,300607,C5191643,,,,Hyperekplexia-epilepsy syndrome,Neonatal,X-linked recessive
778,Rett syndrome,Disease,Disorder,LD90.4,0010726,F84.2,312750,C0035372,D015518,10077709,5696,Rett syndrome,Infancy,X-linked dominant
163988,"OBSOLETE: Developmental delay-deafness syndrome, Hildebrand type",Malformation syndrome,Disorder,,,,,,,,,,,
164001,Rare odontal or periodontal disorder,Category,Group of disorders,,,,,C5680435,,,,,,
72,Angelman syndrome,Malformation syndrome,Disorder,LD90.0,0007113,Q93.5,105830,C0162635,D017204,10049004,5810,Angelman syndrome,Infancy,Not applicable
165661,Genetic pancreatic disease,Category,Group of disorders,,,,,C5680436,,,,,,
307,Juvenile myoclonic epilepsy,Disease,Disorder,8A61.30,0009696,G40.3,617924,C0270853,D020190,10071082,6808,Juvenile myoclonic epilepsy,"Adolescent, Childhood",Multigenic/multifactorial
165658,Genetic gastro-esophageal disease,Category,Group of disorders,,,,,C5680437,,,,,,
165655,Genetic intestinal disease,Category,Group of disorders,,,,,C5680438,,,,,,
165652,Rare genetic gastroenterological disease,Category,Group of disorders,,,,,C5680439,,,,,,
1941,Juvenile absence epilepsy,Disease,Disorder,8A61.31,0011876,G40.3,607631,C4317339,,10085031,2162,Juvenile absence epilepsy,Adolescent,"Multigenic/multifactorial, Unknown"
892,Von Hippel-Lindau disease,Disease,Disorder,5A75,0008667,Q85.8,193300,C0019562,D006623,10047716,7855,Von Hippel-Lindau disease,"Adolescent, Adult, Childhood",Autosomal dominant
164823,Rare acquired aplastic anemia,Category,Group of disorders,,,,,C5680440,,,,,,
731,Autosomal recessive polycystic kidney disease,Disease,Disorder,GB8Y,0009889,Q61.1,617610,C0085548,D017044,10036047,8378,Autosomal recessive polycystic kidney disease,All ages,Autosomal recessive
164736,Familial advanced sleep-phase syndrome,Disease,Disorder,7A6Z,,G47.2,615224,C1858496,C565789,,9242,Familial advanced sleep-phase syndrome,"Adolescent, Childhood",Autosomal dominant
138,CHARGE syndrome,Malformation syndrome,Disorder,5A61.0,0008965,Q87.8,214800,C0265354,D058747,10064063,29,CHARGE syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown"
558,Marfan syndrome,Disease,Disorder,LD28.01,0007947,Q87.4,154700,C0024796,D008382,10026829,,Marfan syndrome,All ages,Autosomal dominant
165805,Familial mesial temporal lobe epilepsy with febrile seizures,Disease,Disorder,,0013742,,,C5191318,,,,,,
803,Amyotrophic lateral sclerosis,Disease,Disorder,8B60.0,0004976,G12.2,619141,C0002736,D000690,10002026,5786,Amyotrophic lateral sclerosis,Adult,"Autosomal dominant, Autosomal recessive, Not applicable"
165711,Rare abdominal surgical disease,Category,Group of disorders,,,,,C5680441,,,,,,
802,NON RARE IN EUROPE: Multiple sclerosis,Disease,Disorder,,,G35,,,,,,,,
165707,Syndromic urogenital tract malformation,Category,Group of disorders,,,,,C5680442,,,,,,
100,Ataxia-telangiectasia,Disease,Disorder,4A01.31,0008840,G11.3,208910,C0004135,D001260,10003594,5862,Ataxia-telangiectasia,"Childhood, Infancy",Autosomal recessive
165704,Non-syndromic urogenital tract malformation,Category,Group of disorders,,,,,C5680443,,,,,,
733,Familial adenomatous polyposis,Disease,Disorder,2B90.Y,0021055,D12.6,616415,C0032580,D011125,10056981,6408,Familial adenomatous polyposis,Adult,"Autosomal dominant, Autosomal recessive"
165961,OBSOLETE: Subcutaneous myiasis,Category,Group of disorders,,,,,,,,,,,
399,Huntington disease,Disease,Disorder,8A01.10,0007739,G10,143100,C0020179,D006816,10070668,6677,Huntington disease,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
165955,Wound myiasis,Disease,Disorder,1G01.3,0015622,B87.1,,C0344061,,,,Wound myiasis,"Adult, Elderly",Not applicable
501,Lafora disease,Disease,Disorder,8A61.41,0009697,G40.3,620681,C0751783,D020192,10054030,8214,Lafora disease,"Adolescent, Childhood",Autosomal recessive
165958,Cavitary myiasis,Disease,Disorder,1G01.0,0015623,B87.8,,C4707154,,,,Cavitary myiasis,All ages,Not applicable
870,Down syndrome,Malformation syndrome,Disorder,LD40.0,0008608,Q90.9,190685,C0013080,D004314,10044688,10247,Down syndrome,"Antenatal, Neonatal",Not applicable
512,Metachromatic leukodystrophy,Disease,Disorder,5C56.02,0018868,E75.2,250100,C0023522,D007966,10067609,3230,Metachromatic leukodystrophy,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166011,"Multiple epiphyseal dysplasia, Beighton type",Disease,Disorder,,0007562,,132450,C4304499,,,,,,
166016,"Multiple epiphyseal dysplasia, Lowry type",Disease,Disorder,LD24.61,0011109,Q78.8,601560,C1832112,C563291,,,"Multiple epiphyseal dysplasia, Lowry type",Neonatal,
567,22q11.2 deletion syndrome,Malformation syndrome,Disorder,LD44.N0,0018923,D82.1,188400,C0012236,D004062,10012979,10299,22q11.2 deletion syndrome,All ages,Autosomal dominant
232,Sickle cell anemia,Disease,Disorder,3A51.2,0011382,D57.2,603903,C0002895,D000755,10040641,8614,Sickle cell anemia,All ages,Autosomal recessive
165994,Pituitary resistance to thyroid hormone,Disease,Disorder,,,,,C1840364,,,,,,
536,Systemic lupus erythematosus,Disease,Disorder,4A40.0,0007915,M32.9,614420,C0024141,D008180,10042945,,Systemic lupus erythematosus,"Adolescent, Adult, Childhood, Infancy",Not applicable
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,Disease,Disorder,LD24.61,0015627,Q77.3,614135,C4707798,,,,Multiple epiphyseal dysplasia due to collagen 9 anomaly,"Adolescent, Childhood",Autosomal dominant
534,Oculocerebrorenal syndrome of Lowe,Malformation syndrome,Disorder,5C60.0,,E72.0,309000,C0028860,D009800,10051707,3295,Oculocerebrorenal syndrome of Lowe,"Antenatal, Neonatal",X-linked recessive
165988,Diazoxide-resistant diffuse hyperinsulinism,Clinical group,Group of disorders,,0015625,,,C5679569,,,,,,
790,Retinoblastoma,Disease,Disorder,2D02.2,0008380,C69.2,180200,C0035335,D012175,10038916,7563,Retinoblastoma,"Antenatal, Childhood, Infancy","Autosomal dominant, Not applicable"
165991,Exercise-induced hyperinsulinism,Disease,Disorder,5A45,0012396,E16.1,610021,C1864902,C538376,,9932,Exercise-induced hyperinsulinism,"Adolescent, Adult",Autosomal dominant
652,Multiple endocrine neoplasia type 1,Disease,Disorder,2F7A.0,0007540,D44.8,131100,C0025267,D018761,10073150,3829,Multiple endocrine neoplasia type 1,All ages,"Autosomal dominant, Not applicable"
165985,Diazoxide-sensitive diffuse hyperinsulinism,Clinical group,Group of disorders,,0015624,,,C5679570,,,,,,
